DateTime,Open,High,Low,Close,Volume
2025-03-28 05:20:00,86079.0,86079.0,86079.0,86079.0,6.9e-05
2025-03-28 05:21:00,86078.9,86078.9,86078.9,86078.9,0.00158
2025-03-28 05:22:00,86079.0,86080.0,86079.0,86080.0,0.0039733878
2025-03-28 05:23:00,86160.99,86161.0,86160.99,86161.0,0.002607
2025-03-28 05:24:00,86081.0,86157.97,86081.0,86157.97,0.0026616109
2025-03-28 05:25:00,86099.0,86099.0,86079.0,86079.0,0.007315
2025-03-28 05:26:00,86079.0,86079.0,86079.0,86079.0,0.000108
2025-03-28 05:27:00,86079.0,86079.0,86079.0,86079.0,8e-06
2025-03-28 05:28:00,86090.0,86098.99,86090.0,86090.0,0.034134
2025-03-28 05:29:00,86098.99,86098.99,86001.0,86001.0,0.0304299886
2025-03-28 05:30:00,86000.0,86001.0,86000.0,86000.1,0.10658
2025-03-28 05:31:00,86000.0,86000.0,85925.0,85925.0,0.0114547663
2025-03-28 05:32:00,85925.0,85952.14,85920.0,85952.14,0.0296254115
2025-03-28 05:33:00,85952.14,85952.14,85925.0,85925.0,0.001605
2025-03-28 05:34:00,85950.0,85950.0,85950.0,85950.0,0.005817
2025-03-28 05:35:00,85926.0,86001.0,85925.0,86001.0,0.022839
2025-03-28 05:36:00,86001.0,86099.0,86001.0,86099.0,0.006414
2025-03-28 05:37:00,85935.0,85935.0,85931.0,85931.0,0.001275
2025-03-28 05:38:00,86098.99,86099.0,85931.0,85931.0,0.009218
2025-03-28 05:39:00,85931.0,85931.0,85931.0,85931.0,0.0
2025-03-28 05:40:00,86049.99,86099.0,86000.0,86000.0,0.004183
2025-03-28 05:41:00,85934.0,86098.99,85934.0,86000.0,0.001414
2025-03-28 05:42:00,85950.0,85950.0,85950.0,85950.0,0.002423
2025-03-28 05:43:00,85950.0,85950.0,85920.0,85920.0,0.023588
2025-03-28 05:44:00,85920.0,85920.0,85920.0,85920.0,0.006693
2025-03-28 05:45:00,85921.0,85921.0,85921.0,85921.0,0.003161714
2025-03-28 05:46:00,85921.0,85921.0,85920.0,85920.0,0.016974
2025-03-28 05:47:00,85920.0,85930.0,85900.0,85900.0,0.0171003733
2025-03-28 05:48:00,85900.01,85900.01,85900.01,85900.01,0.002215
2025-03-28 05:49:00,85900.01,85989.98,85900.01,85989.98,0.0047535242
2025-03-28 05:50:00,86079.92,86079.92,85902.0,85902.0,0.0109753762
2025-03-28 05:51:00,85902.0,85902.0,85901.04,85902.0,0.015348
2025-03-28 05:52:00,85902.0,85902.0,85901.04,85901.04,0.00819
2025-03-28 05:53:00,85902.0,86135.71,85902.0,86135.71,0.0362525314
2025-03-28 05:54:00,85902.25,86135.57,85902.25,86135.57,0.000537
